ind_union_eng_3,year_5,sales.t_sum,sales.m_sum
Transportation,1982,0.11766041099999999,117.660411
Transportation,1987,0.241081735,241.08173499999998
Transportation,1992,0.468048,468.048
Transportation,1997,0.24427,244.26999999999998
Transportation,2002,0.28557,285.57
Transportation,2007,0.422956,422.956
Transportation,2012,0.242969,242.969
Transportation,2017,0.270902,270.902
Electric,1982,0.11669043300000001,116.69043300000001
Electric,1987,0.445547757,445.547757
Electric,1992,0.790273,790.273
Electric,1997,0.565448,565.448
Electric,2002,0.514886,514.886
Electric,2007,0.655286,655.2860000000001
Electric,2012,0.405915,405.915
Electric,2017,0.395128,395.128
Others,1982,0.120732347,120.732347
Others,1987,0.330347571,330.347571
Others,1992,0.5948599999999999,594.8599999999999
Others,1997,0.43902499999999994,439.0249999999999
Others,2002,0.4376359999999999,437.6359999999999
Others,2007,0.311442,311.442
Others,2012,0.204301,204.30100000000002
Others,2017,0.31033599999999995,310.33599999999996
