name_ind_short,name_app_short,1982,1987,1992,1997,2002,2007,2012,2017
Electric,Tending,9.4,4.6,7.4,8.2,5.6,3.2,5.4,10.3
Electric,Welding,3,2.2,3.1,1,0.5,0.3,0.5,0.5
Electric,Dispensing,1.7,0.9,0.3,0.3,0.2,0.3,0.1,0.1
Electric,Processing,6,3.2,2.9,2.5,1.1,1.8,0.2,0.3
Electric,Assembling,76.3,84.9,85.8,87.3,79.1,70.3,57.1,50.8
Electric,Others,3.7,4.2,0.5,0.9,13.6,24.1,36.7,38.1
Transportation,Tending,23.5,11.1,14.1,20.2,17.3,17.3,19.8,26.5
Transportation,Welding,46.4,53,46.8,39.5,50.1,47,44.7,42.9
Transportation,Dispensing,4.6,4.9,3.9,4.3,3.7,7.6,10.3,7.6
Transportation,Processing,15.9,12.1,23.9,19.8,16,11,11.4,10.7
Transportation,Assembling,7.1,13.9,9.7,15.3,9.5,15.8,12,7.8
Transportation,Others,2.5,5,1.6,0.9,3.4,1.3,1.7,4.5
Others,Tending,47.3,42.8,47.3,54.5,40.3,42.1,51.6,40.9
Others,Welding,13.7,14,17.5,14,8.3,16.4,16.8,16.4
Others,Dispensing,6.3,5,2.7,1.7,1.1,2.4,2.2,3.1
Others,Processing,15.7,12.7,9.9,8.9,5.4,9.7,6.7,5.8
Others,Assembling,2.3,13.1,9.5,12.2,30,17.4,14.2,11.6
Others,Others,14.7,12.4,13.1,8.6,15,12,8.6,22.1
