Industry,1982,1987,1992,1997,2002,2007,2012
Steel,0.129,0.126,0.071,0.082,0.107,0.136,0.142
Non-ferrous metal,0.14,0.05,0.048,0.079,0.16,0.287,0.435
Metal products,0.104,0.085,0.046,0.053,0.073,0.103,0.125
General machine,0.223,0.244,0.19,0.241,0.277,0.368,0.409
Electric machine,0.26,0.311,0.243,0.268,0.312,0.373,0.356
Precision machine,0.364,0.393,0.316,0.352,0.392,0.453,0.406
Transport machine,0.331,0.383,0.25,0.251,0.299,0.338,0.345
Food,0.012,0.008,0.006,0.006,0.006,0.009,0.01
Paper,0.023,0.022,0.018,0.016,0.02,0.028,0.033
Chemical,0.089,0.087,0.081,0.098,0.125,0.175,0.192
Ceramics,0.07,0.074,0.051,0.061,0.079,0.12,0.157
Other manuf.,0.055,0.061,0.049,0.051,0.064,0.078,0.101
Non-manuf.,0,0,0,0,0,0,0.004
